Senate
"First Name","Last Name",Party,District,"Year Score","Lifetime Score",URL
Ed,Case,D,HI-01,97,97,https://www.lcv.org/moc/ed-case/
Jill,Tokuda,D,HI-02,100,100,https://www.lcv.org/moc/jill-tokuda/
Idaho
Russ,Fulcher,R,ID-01,0,2,https://www.lcv.org/moc/russ-fulcher/
Mike,Simpson,R,ID-02,3,10,https://www.lcv.org/moc/mike-simpson/
Illinois
Jonathan,Jackson,D,IL-01,100,100,https://www.lcv.org/moc/jonathan-jackson/
Robin,Kelly,D,IL-02,100,96,https://www.lcv.org/moc/robin-kelly/
Delia,Ramirez,D,IL-03,97,98,https://www.lcv.org/moc/delia-ramirez/
Jesús,García,D,IL-04,94,97,https://www.lcv.org/moc/jesus-garcia/
Mike,Quigley,D,IL-05,100,98,https://www.lcv.org/moc/mike-quigley/
Sean,Casten,D,IL-06,100,99,https://www.lcv.org/moc/sean-casten/
Danny,Davis,D,IL-07,100,94,https://www.lcv.org/moc/danny-k-davis/
Raja,Krishnamoorthi,D,IL-08,100,98,https://www.lcv.org/moc/raja-krishnamoorthi/
Jan,Schakowsky,D,IL-09,100,97,https://www.lcv.org/moc/jan-schakowsky/
Brad,Schneider,D,IL-10,97,96,https://www.lcv.org/moc/brad-schneider/
Bill,Foster,D,IL-11,100,96,https://www.lcv.org/moc/bill-foster/
Mike,Bost,R,IL-12,3,5,https://www.lcv.org/moc/mike-bost/
Nikki,Budzinski,D,IL-13,94,96,https://www.lcv.org/moc/nikki-budzinski/
Lauren,Underwood,D,IL-14,100,99,https://www.lcv.org/moc/lauren-underwood/
Mary,Miller,R,IL-15,0,1,https://www.lcv.org/moc/mary-miller/
Darin,LaHood,R,IL-16,0,4,https://www.lcv.org/moc/darin-lahood/
Eric,Sorensen,D,IL-17,97,97,https://www.lcv.org/moc/eric-sorensen/
Indiana
Frank,Mrvan,D,IN-01,94,97,https://www.lcv.org/moc/frank-mrvan/
Rudy,Yakym,R,IN-02,0,1,https://www.lcv.org/moc/rudy-yakym-2/
Marlin,Stutzman,R,IN-03,0,4,https://www.lcv.org/moc/marlin-stutzman/
